1,"Barbados",2045,2000,-45,"-2,2",9,"M"
2,"Liechtenstein",269,268,-1,"-0,37",12,"M"
3,"Szwecja",90238,91514,1276,"1,41",52,"T"
4,"Grenlandia",518,531,13,"2,51",12,"M"
5,"Belgia",109389,112243,2854,"2,61",52,"T"
6,"Norwegia",40581,41871,1290,"3,18",52,"T"
7,"Islandia",2254,2333,79,"3,5",52,"T"
8,"Nowa Zelandia",33571,34779,1208,"3,6",52,"T"
9,"Luksemburg",4294,4484,190,"4,42",52,"T"
10,"Dania",54441,57031,2590,"4,76",52,"T"
11,"Szwajcaria",67202,70627,3425,"5,1",52,"T"
12,"Tajwan",174540,183732,9192,"5,27",12,"M"
13,"Japonia",1375123,1452289,77166,"5,61",12,"M"
14,"Australia",161722,170960,9238,"5,71",52,"T"
15,"Finlandia",54095,57251,3156,"5,83",52,"T"
16,"Wyspy Owcze",403,428,25,"6,2",12,"M"
17,"Hongkong",48179,51168,2989,"6,2",12,"M"
18,"Makao",2176,2320,144,"6,62",12,"M"
19,"Kanada",261815,279565,17750,"6,78",48,"T"
20,"Korea Południowa",296055,316541,20486,"6,92",52,"T"
21,"Francja",596473,641470,44997,"7,54",52,"T"
22,"Niemcy",944534,1016794,72260,"7,65",52,"T"
23,"Antigua i Barbuda",600,649,49,"8,17",12,"M"
24,"Hiszpania",419454,455062,35608,"8,49",52,"T"
25,"Wielka Brytania",606921,665663,58742,"9,68",52,"T"
26,"Austria",81774,89875,8101,"9,91",52,"T"
27,"Irlandia",31205,34354,3149,"10,09",12,"M"
28,"Włochy",640924,706154,65230,"10,18",52,"T"
29,"Malta",3678,4067,389,"10,58",52,"T"
30,"Portugalia",112083,124559,12476,"11,13",52,"T"
31,"Holandia",152267,170051,17784,"11,68",52,"T"
32,"Słowenia",20488,22964,2476,"12,09",52,"T"
33,"Izrael",45105,50611,5506,"12,21",52,"T"
34,"Uzbekistan",154742,174540,19798,"12,79",12,"M"
35,"Monako",525,593,68,"12,95",12,"M"
36,"Dominika",36168,40902,4734,"13,09",10,"M"
37,"Portoryko",29100,32986,3886,"13,35",52,"T"
38,"Singapur",21364,24220,2856,"13,37",12,"M"
39,"Reunion",5059,5786,727,"14,37",52,"T"
40,"Seszele",807,925,118,"14,62",12,"M"
41,"Tajlandia",489876,563650,73774,"15,06",12,"M"
42,"Mongolia",17268,19929,2661,"15,41",12,"M"
43,"Cypr",6008,6943,935,"15,56",52,"T"
44,"Grecja",122245,143586,21341,"17,46",52,"T"
45,"Urugwaj",34468,40599,6131,"17,79",12,"M"
46,"Kirgistan",33142,39193,6051,"18,26",12,"M"
47,"Malezja",128974,153436,24462,"18,97",9,"M"
48,"Węgry",129945,155034,25089,"19,31",52,"T"
49,"Chorwacja",52087,62642,10555,"20,26",52,"T"
50,"Litwa",38818,46732,7914,"20,39",52,"T"
51,"Estonia",15508,18709,3201,"20,64",52,"T"
52,"Mauritius",10981,13274,2293,"20,88",12,"M"
53,"Katar",2293,2774,481,"20,98",12,"M"
54,"Łotwa",28188,34171,5983,"21,23",52,"T"
55,"Stany Zjednoczone",2845854,3459502,613648,"21,56",52,"T"
56,"Ukraina",584390,714263,129873,"22,22",12,"M"
57,"Mołdowa",36985,45386,8401,"22,71",12,"M"
58,"Czechy",112322,139147,26825,"23,88",52,"T"
59,"San Marino",248,312,64,"25,81",12,"M"
60,"Polska",409468,518664,109196,"26,67",52,"T"
61,"Chile",107903,137085,29182,"27,04",52,"T"
62,"Rumunia",260967,333028,72061,"27,61",52,"T"
63,"Gruzja",46592,59906,13314,"28,58",12,"M"
64,"Kostaryka",24027,31081,7054,"29,36",12,"M"
65,"Egipt",565170,732086,166916,"29,53",12,"M"
66,"Bośnia i Hercegowina",36718,48503,11785,"32,1",12,"M"
67,"Naddniestrze",6769,8980,2211,"32,66",12,"M"
68,"Jamajka",17128,22843,5715,"33,37",11,"M"
69,"Panama",16682,22261,5579,"33,44",10,"M"
70,"Armenia",25949,34638,8689,"33,48",12,"M"
71,"Serbia",101557,135901,34344,"33,82",12,"M"
72,"Afryka Południowa",526223,706371,180148,"34,23",52,"T"
73,"Rosja",1813609,2445509,631900,"34,84",12,"M"
74,"Azerbejdżan",56849,76878,20029,"35,23",12,"M"
75,"Martynika",3407,4612,1205,"35,37",52,"T"
76,"Słowacja",53626,72957,19331,"36,05",52,"T"
77,"Gwadelupa",3294,4515,1221,"37,07",52,"T"
78,"Kosowo",9214,12641,3427,"37,19",12,"M"
79,"Bułgaria",108010,148633,40623,"37,61",52,"T"
80,"Brazylia",1333261,1843727,510466,"38,29",12,"M"
81,"Czarnogóra",5366,7451,2085,"38,86",43,"T"
82,"Kazachstan",132002,183357,51355,"38,9",12,"M"
83,"Aruba",691,964,273,"39,51",12,"M"
84,"Albania",21871,30580,8709,"39,82",12,"M"
85,"Iran",378195,529735,151540,"40,07",52,"T"
86,"Gwatemala",81569,115708,34139,"41,85",51,"T"
87,"Oman",8780,12495,3715,"42,31",12,"M"
88,"Gujana Francuska",938,1340,402,"42,86",52,"T"
89,"Macedonia Północna",20070,28816,8746,"43,58",12,"M"
90,"Tunezja",46689,67084,20395,"43,68",8,"M"
91,"Ekwador",72624,104450,31826,"43,82",52,"T"
92,"Filipiny",553909,804185,250276,"45,18",11,"M"
93,"Liban",25023,36950,11927,"47,66",12,"M"
94,"Meksyk",724711,1077607,352896,"48,69",52,"T"
95,"Majotta",732,1089,357,"48,77",52,"T"
96,"Polinezja Francuska",1195,1810,615,"51,46",9,"M"
97,"Kolumbia",237808,360320,122512,"51,52",52,"T"
98,"Paragwaj",33068,52644,19576,"59,2",12,"M"
99,"Boliwia",51784,86100,34316,"66,27",12,"M"
100,"Peru",113536,247798,134262,"118,26",52,"T"
