Afryka Południowa,34.28,164708.33,
Albania,39.82,160491.66,
Aruba,39.51,125075.00,
Australia,5.71,188545.84,
Austria,9.49,211895.83,
Azerbejdżan,35.23,224333.34,
Barbados,-2.2,202808.34,
Belgia,2.35,164425.00,
Belize,27.31,212974.99,
Bermudy,36.14,148425.00,
Boliwia,62.79,108262.51,
Bośnia i Hercegowina,32.1,113508.34,
Brazylia,39.18,196337.50,
Bułgaria,37.62,145383.33,
Chile,27.04,217395.84,
Chorwacja,20.26,129129.17,
Cypr,17.81,200350.00,
Czechy,23.89,171308.33,
Dania,4.77,145750.00,
Dominika,13.09,197387.50,
Egipt,29.53,159708.34,
Ekwador,44.36,197545.83,
Estonia,20.72,113433.33,
Filipiny,45.23,232037.50,
Finlandia,6.44,115712.50,
Francja,7.59,201183.33,
Grecja,17.46,233954.17,
Grenlandia,2.51,116037.50,
Gruzja,28.58,173016.67,
Gwatemala,41.88,169541.66,
Hiszpania,6.78,175487.50,
Holandia,11.68,176983.33,
Hongkong,6.2,196333.33,
Iran,40.07,232391.67,
Irlandia,10.09,190866.67,
Islandia,3.5,106641.67,
Izrael,12.26,167912.51,
Jamajka,33.37,241562.50,
Japonia,5.61,133095.84,
Jordania,40.25,150666.67,
Kanada,7.95,223308.33,
Katar,20.98,206316.67,
Kazachstan,38.9,208904.16,
Kirgistan,18.26,147637.50,
Kolumbia,51.71,191116.67,
Korea Południowa,7.04,163325.00,
Kosowo,41.3,160150.01,
Kostaryka,29.36,178583.33,
Kuba,55.74,217250.00,
Liban,47.66,202716.66,
Liechtenstein,-0.37,133375.00,
Litwa,22.27,152966.66,
Luksemburg,4.03,133541.67,
Łotwa,22.29,154958.33,
Makao,6.62,80300.00,
Malezja,24.53,217325.00,
Malta,12.34,166100.00,
Mauritius,20.88,170266.66,
Meksyk,50.2,155741.67,
Mołdowa,22.71,168933.33,
Monako,12.95,141116.67,
Mongolia,15.41,190762.50,
Niemcy,7.89,202000.00,
Norwegia,3.23,141937.50,
Nowa Zelandia,3.64,131887.50,
Oman,44.07,186074.99,
Panama,33.44,220733.34,
Paragwaj,62.06,151716.67,
Peru,70.83,234225.00,
Polska,26.68,163125.00,Polska
Portoryko,13.32,127633.33,
Portugalia,11.13,189500.00,
Rosja,34.84,135629.17,
Rumunia,27.61,180850.00,
San Marino,25.81,160675.00,
Serbia,34.53,134333.34,
Seszele,14.62,222341.66,
Singapur,13.71,169000.00,
Słowacja,35.23,167616.67,
Słowenia,12.69,180758.34,
Stany Zjednoczone,21.51,184000.00,
Szwajcaria,5.1,156216.67,
Szwecja,1.42,126966.66,
Tajlandia,15.06,185445.84,
Tajwan,5.27,126275.00,
Tunezja,39.45,203050.01,
Ukraina,22.22,175233.33,
Urugwaj,17.79,172158.34,
Uzbekistan,12.79,137675.00,
Węgry,19.31,141358.33,
Wielka Brytania,9.68,181295.84,
Włochy,10.19,228458.34,
Wyspy Owcze,6.2,93166.67,
