"Deaths by sex by Time, Gender and Type"

"Time","Total Deaths by sex"
"1990",18193
"1991",17743
"1992",18026
"1993",17920
"1994",18342
"1995",18060
"1996",17600
"1997",18237
"1998",18250
"1999",16720
"2000",16421
"2001",15813
"2002",16248
"2003",17967
"2004",17749
"2005",17124
"2006",16682
"2007",14528
"2008",15926
"2009",20428
"2010",20107
"2011",20012
"2012",20870
"2013",20442
"2014",20656
"2015",22418
"2016",21388
"2017",22232
"2018",21804
"2019",21937
"2020",27605
"2021",30507
