"12af -- Deaths by sex, 1751-2022"

"Year","Total Deaths"
"1751",10475
"1752",11400
"1753",11502
"1754",15696
"1755",13928
"1756",16724
"1757",12225
"1758",13960
"1759",13500
"1760",13602
"1761",14047
"1762",14971
"1763",20913
"1764",17035
"1765",15472
"1766",15144
"1767",15578
"1768",13971
"1769",15557
"1770",16824
"1771",14750
"1772",13719
"1773",12566
"1774",12752
"1775",15473
"1776",18721
"1777",19795
"1778",15698
"1779",14095
"1780",13879
"1781",17627
"1782",16809
"1783",20948
"1784",17110
"1785",20562
"1786",18035
"1787",16485
"1788",23454
"1789",26658
"1790",26895
"1791",28856
"1792",17871
"1793",18715
"1794",23898
"1795",17997
"1796",18195
"1797",16020
"1798",17791
"1799",22610
"1800",21086
"1801",18321
"1802",19132
"1803",28652
"1804",21911
"1805",18872
"1806",19765
"1807",26424
"1808",53942
"1809",51531
"1810",21132
"1811",26666
"1812",25548
"1813",29303
"1814",35004
"1815",28370
"1816",25829
"1817",26956
"1818",28304
"1819",31468
"1820",29606
"1821",27241
"1822",33535
"1823",29578
"1824",33742
"1825",32619
"1826",31934
"1827",27606
"1828",29466
"1829",34804
"1830",33968
"1831",39312
"1832",46737
"1833",63738
"1834",32825
"1835",34245
"1836",44397
"1837",39553
"1838",31593
"1839",29190
"1840",31717
"1841",32550
"1842",32296
"1843",33278
"1844",33147
"1845",35259
"1846",38984
"1847",36531
"1848",37885
"1849",39456
"1850",42913
"1851",39107
"1852",49736
"1853",48844
"1854",43498
"1855",53998
"1856",57438
"1857",55143
"1858",50440
"1859",42969
"1860",43113
"1861",41845
"1862",50005
"1863",52984
"1864",40975
"1865",45743
"1866",61894
"1867",69774
"1868",137720
"1869",43675
"1870",31841
"1871",31958
"1872",35889
"1873",43525
"1874",45225
"1875",43458
"1876",42151
"1877",47458
"1878",47739
"1879",39468
"1880",48857
"1881",51744
"1882",46821
"1883",44291
"1884",45204
"1885",48261
"1886",49514
"1887",42875
"1888",45417
"1889",45679
"1890",46479
"1891",50715
"1892",57486
"1893",51002
"1894",47467
"1895",44482
"1896",47061
"1897",45233
"1898",45751
"1899",53042
"1900",57915
"1901",56223
"1902",50999
"1903",49992
"1904",50227
"1905",52773
"1906",50857
"1907",53028
"1908",55305
"1909",50577
"1910",51007
"1911",51648
"1912",51645
"1913",51876
"1914",50690
"1915",52205
"1916",54577
"1917",58863
"1918",95102
"1919",62932
"1920",53304
"1921",47361
"1922",49180
"1923",47556
"1924",53442
"1925",47493
"1926",47526
"1927",51727
"1928",48713
"1929",54489
"1930",48240
"1931",48968
"1932",46700
"1933",47960
"1934",46318
"1935",45370
"1936",49124
"1937",46466
"1938",46930
"1939",52614
"1940",71846
"1941",73334
"1942",56141
"1943",49634
"1944",70570
"1945",49046
"1946",44748
"1947",46053
"1948",43668
"1949",44501
"1950",40681
"1951",40386
"1952",39024
"1953",39925
"1954",37988
"1955",39573
"1956",38713
"1957",40741
"1958",38833
"1959",38827
"1960",39797
"1961",40616
"1962",42889
"1963",42010
"1964",42512
"1965",44473
"1966",43548
"1967",43790
"1968",45013
"1969",45966
"1970",44119
"1971",45876
"1972",43958
"1973",43410
"1974",44676
"1975",43828
"1976",44786
"1977",44065
"1978",43692
"1979",43738
"1980",44398
"1981",44404
"1982",43408
"1983",45388
"1984",45098
"1985",48198
"1986",47135
"1987",47949
"1988",49063
"1989",49110
"1990",50058
"1991",49294
"1992",49844
"1993",50988
"1994",48000
"1995",49280
"1996",49167
"1997",49108
"1998",49262
"1999",49345
"2000",49339
"2001",48550
"2002",49418
"2003",48996
"2004",47600
"2005",47928
"2006",48065
"2007",49077
"2008",49094
"2009",49883
"2010",50887
"2011",50585
"2012",51707
"2013",51472
"2014",52186
"2015",52492
"2016",53923
"2017",53722
"2018",54527
"2019",53949
"2020",55488
"2021",57659
"2022",63219
