"Statistic Label","Year","State","UNIT","VALUE"
"Deaths","1989","State","Number","32111"
"Deaths","1990","State","Number","31370"
"Deaths","1991","State","Number","31305"
"Deaths","1992","State","Number","30931"
"Deaths","1993","State","Number","32148"
"Deaths","1994","State","Number","30948"
"Deaths","1995","State","Number","32259"
"Deaths","1996","State","Number","31723"
"Deaths","1997","State","Number","31581"
"Deaths","1998","State","Number","31563"
"Deaths","1999","State","Number","32608"
"Deaths","2000","State","Number","31391"
"Deaths","2001","State","Number","30212"
"Deaths","2002","State","Number","29683"
"Deaths","2003","State","Number","29074"
"Deaths","2004","State","Number","28665"
"Deaths","2005","State","Number","28260"
"Deaths","2006","State","Number","28488"
"Deaths","2007","State","Number","28117"
"Deaths","2008","State","Number","28274"
"Deaths","2009","State","Number","28380"
"Deaths","2010","State","Number","27961"
"Deaths","2011","State","Number","28456"
"Deaths","2012","State","Number","29186"
"Deaths","2013","State","Number","29504"
"Deaths","2014","State","Number","29252"
"Deaths","2015","State","Number","30127"
"Deaths","2016","State","Number","30667"
"Deaths","2017","State","Number","30418"
"Deaths","2018","State","Number","31140"
"Deaths","2019","State","Number","31184"
"Deaths","2020","State","Number","32856"
"Deaths","2021","State","Number","33055"
"Deaths","2022","State","Number","35477"
