"Deaths by sex and age – Sex, Age and Time period"

"Sex","Age","Time period","Deaths by sex and age"
"Total","Total","1920",33891
"Total","Total","1921",25331
"Total","Total","1922",27553
"Total","Total","1923",26080
"Total","Total","1924",28399
"Total","Total","1925",27683
"Total","Total","1926",27557
"Total","Total","1927",28941
"Total","Total","1928",27299
"Total","Total","1929",28512
"Total","Total","1930",27110
"Total","Total","1931",26891
"Total","Total","1932",26342
"Total","Total","1933",26319
"Total","Total","1934",27065
"Total","Total","1935",27660
"Total","Total","1936",27646
"Total","Total","1937",28083
"Total","Total","1938",26703
"Total","Total","1939",27827
"Total","Total","1940",30355
"Total","Total","1941",…
"Total","Total","1942",29940
"Total","Total","1943",29904
"Total","Total","1944",…
"Total","Total","1945",32230
"Total","Total","1946",32266
"Total","Total","1947",32435
"Total","Total","1948",26500
"Total","Total","1949",25640
"Total","Total","1950",24250
"Total","Total","1951",23898
"Total","Total","1952",22680
"Total","Total","1953",22761
"Total","Total","1954",22500
"Total","Total","1955",21330
"Total","Total","1956",20339
"Total","Total","1957",21087
"Total","Total","1958",20910
"Total","Total","1959",22601
"Total","Total","1960",21314
"Total","Total","1961",21759
"Total","Total","1962",23592
"Total","Total","1963",22703
"Total","Total","1964",21165
"Total","Total","1965",22780
"Total","Total","1966",23350
"Total","Total","1967",24362
"Total","Total","1968",25104
"Total","Total","1969",26229
"Total","Total","1970",26546
"Total","Total","1971",26275
"Total","Total","1972",27296
"Total","Total","1973",28139
"Total","Total","1974",28143
"Total","Total","1975",30042
"Total","Total","1976",30373
"Total","Total","1977",30869
"Total","Total","1978",31261
"Total","Total","1979",32162
"Total","Total","1980",32100
"Total","Total","1981",32090
"Total","Total","1982",31234
"Total","Total","1983",32330
"Total","Total","1984",33406
"Total","Total","1985",34166
"Total","Total","1986",31328
"Total","Total","1987",32150
"Total","Total","1988",32421
"Total","Total","1989",32584
"Total","Total","1990",34812
"Total","Total","1991",34749
"Total","Total","1992",35420
"Total","Total","1993",39197
"Total","Total","1994",41757
"Total","Total","1995",38931
"Total","Total","1996",34320
"Total","Total","1997",33533
"Total","Total","1998",34200
"Total","Total","1999",32844
"Total","Total","2000",32205
"Total","Total","2001",32991
"Total","Total","2002",32498
"Total","Total","2003",32437
"Total","Total","2004",32024
"Total","Total","2005",32777
"Total","Total","2006",33098
"Total","Total","2007",33042
"Total","Total","2008",31006
"Total","Total","2009",29897
"Total","Total","2010",30040
"Total","Total","2011",28540
"Total","Total","2012",29025
"Total","Total","2013",28691
"Total","Total","2014",28466
"Total","Total","2015",28478
"Total","Total","2016",28580
"Total","Total","2017",28757
"Total","Total","2018",28820
"Total","Total","2019",27719
"Total","Total","2020",28854
"Total","Total","2021",34600
"Total","Total","2022",30731
