Time period,Deaths by sex and age
1920,33891
1921,25331
1922,27553
1923,26080
1924,28399
1925,27683
1926,27557
1927,28941
1928,27299
1929,28512
1930,27110
1931,26891
1932,26342
1933,26319
1934,27065
1935,27660
1936,27646
1937,28083
1938,26703
1939,27827
1940,30355
1941,
1942,29940
1943,29904
1944,
1945,32230
1946,32266
1947,32435
1948,26500
1949,25640
1950,24250
1951,23898
1952,22680
1953,22761
1954,22500
1955,21330
1956,20339
1957,21087
1958,20910
1959,22601
1960,21314
1961,21759
1962,23592
1963,22703
1964,21165
1965,22780
1966,23350
1967,24362
1968,25104
1969,26229
1970,26546
1971,26275
1972,27296
1973,28139
1974,28143
1975,30042
1976,30373
1977,30869
1978,31261
1979,32162
1980,32100
1981,32090
1982,31234
1983,32330
1984,33406
1985,34166
1986,31328
1987,32150
1988,32421
1989,32584
1990,34812
1991,34749
1992,35420
1993,39197
1994,41757
1995,38931
1996,34320
1997,33533
1998,34200
1999,32844
2000,32205
2001,32991
2002,32498
2003,32437
2004,32024
2005,32777
2006,33098
2007,33042
2008,31006
2009,29897
2010,30040
2011,28540
2012,29025
2013,28691
2014,28466
2015,28478
2016,28580
2017,28757
2018,28820
2019,27719
2020,28854
2021,34600
2022,30731
