Rok,Zgony nieskorygowane wg GUS,Noworodki niezdolne do życia z oznakami życia,Zgony skorygowane,Zgony Wikipedia,
1946,241800,,,241800,
1947,258400,,,258400,
1948,267328,,,267300,
1949,280464,,,280500,
1950,288685,,,288700,
1951,312314,,,312300,
1952,286730,,,286700,
1953,266539,,,266500,
1954,276406,,,276400,
1955,261576,,,261600,
1956,249606,,,249600,
1957,269137,,,269100,
1958,241435,,,241400,
1959,252430,,,252400,
1960,224167,,,224200,
1961,227759,,,227700,
1962,239199,,,239200,
1963,230072,,,231200,
1964,235919,,,237000,
1965,232421,1035,233456,233400,
1966,232945,1009,233954,233900,
1967,247705,1434,249139,249100,
1968,244115,1577,245692,245700,
1969,262823,1693,264516,264500,
1970,266799,1846,268645,268600,
1971,283702,2040,285742,285800,
1972,265250,2168,267418,267400,
1973,277188,2303,279491,279500,
1974,277085,2570,279655,279700,
1975,296896,2609,299505,299500,
1976,304057,2724,306781,306800,
1977,312956,2639,315595,315600,
1978,325104,2976,328080,328100,
1979,323048,2936,325984,326000,
1980,350203,2961,353164,353200,
1981,328923,2961,331884,331900,
1982,334869,3005,337874,337900,
1983,349388,2849,352237,352200,
1984,364883,2679,367562,367600,
1985,381472,2515,383987,384000,
1986,376316,2465,378781,378800,
1987,378365,2298,380663,380700,
1988,370821,2197,373018,373000,
1989,381173,1901,383074,383100,
1990,388440,1903,390343,390300,
1991,403951,1765,405716,405700,
1992,393131,1598,394729,394700,
1993,390874,1385,392259,392300,
1994,386398,,,386400,
1995,386084,,,386100,
1996,385496,,,385500,
1997,380201,,,380200,
1998,375354,,,375300,
1999,381415,,,381400,
2000,368028,,,368000,
2001,363220,,,363200,
2002,359486,,,359500,
2003,365230,,,365200,
2004,363522,,,363500,
2005,368285,,,368300,
2006,369686,,,369700,
2007,377226,,,377200,
2008,379399,,,379400,
2009,384940,,,384900,
2010,378478,,,378500,
2011,375501,,,375500,
2012,384788,,,384800,
2013,387312,,,387300,
2014,376467,,,376500,
2015,394921,,,394921,
2016,388009,,,388009,
2017,402852,,,402852,
2018,414200,,,414200,
2019,409709,,,409709,
2020,477355,,,477335,?
2021,519517,,,519000,
2022,,,,448400,
