Sexe, Medii de rezidenta, Grupe de varsta , Ani, UM: Numar persoane, Valoare
Total, Total, Total, Anul 1990, Numar persoane, 247086
Total, Total, Total, Anul 1991, Numar persoane, 251760
Total, Total, Total, Anul 1992, Numar persoane, 263855
Total, Total, Total, Anul 1993, Numar persoane, 263323
Total, Total, Total, Anul 1994, Numar persoane, 266101
Total, Total, Total, Anul 1995, Numar persoane, 271672
Total, Total, Total, Anul 1996, Numar persoane, 286158
Total, Total, Total, Anul 1997, Numar persoane, 279315
Total, Total, Total, Anul 1998, Numar persoane, 269166
Total, Total, Total, Anul 1999, Numar persoane, 265194
Total, Total, Total, Anul 2000, Numar persoane, 255820
Total, Total, Total, Anul 2001, Numar persoane, 259603
Total, Total, Total, Anul 2002, Numar persoane, 269666
Total, Total, Total, Anul 2003, Numar persoane, 266575
Total, Total, Total, Anul 2004, Numar persoane, 258890
Total, Total, Total, Anul 2005, Numar persoane, 262101
Total, Total, Total, Anul 2006, Numar persoane, 258094
Total, Total, Total, Anul 2007, Numar persoane, 251965
Total, Total, Total, Anul 2008, Numar persoane, 253202
Total, Total, Total, Anul 2009, Numar persoane, 257213
Total, Total, Total, Anul 2010, Numar persoane, 259723
Total, Total, Total, Anul 2011, Numar persoane, 251439
Total, Total, Total, Anul 2012, Numar persoane, 255539
Total, Total, Total, Anul 2013, Numar persoane, 250466
Total, Total, Total, Anul 2014, Numar persoane, 255604
Total, Total, Total, Anul 2015, Numar persoane, 262981
Total, Total, Total, Anul 2016, Numar persoane, 258896
Total, Total, Total, Anul 2017, Numar persoane, 262811
Total, Total, Total, Anul 2018, Numar persoane, 265494
Total, Total, Total, Anul 2019, Numar persoane, 261445
Total, Total, Total, Anul 2020, Numar persoane, 298651
Total, Total, Total, Anul 2021, Numar persoane, 336063
Total, Total, Total, Anul 2022, Numar persoane, 272483
