"Basic data on deaths by sex, Slovenia, annually"

"SEX";"YEAR";"Deaths"
"Sex - TOTAL";"1954";14897
"Sex - TOTAL";"1955";15109
"Sex - TOTAL";"1956";16351
"Sex - TOTAL";"1957";14545
"Sex - TOTAL";"1958";14082
"Sex - TOTAL";"1959";15357
"Sex - TOTAL";"1960";15145
"Sex - TOTAL";"1961";14013
"Sex - TOTAL";"1962";15866
"Sex - TOTAL";"1963";15102
"Sex - TOTAL";"1964";16729
"Sex - TOTAL";"1965";15987
"Sex - TOTAL";"1966";15248
"Sex - TOTAL";"1967";16353
"Sex - TOTAL";"1968";17446
"Sex - TOTAL";"1969";18565
"Sex - TOTAL";"1970";17353
"Sex - TOTAL";"1971";17425
"Sex - TOTAL";"1972";18153
"Sex - TOTAL";"1973";17614
"Sex - TOTAL";"1974";17206
"Sex - TOTAL";"1975";18180
"Sex - TOTAL";"1976";18157
"Sex - TOTAL";"1977";17633
"Sex - TOTAL";"1978";18357
"Sex - TOTAL";"1979";18148
"Sex - TOTAL";"1980";18820
"Sex - TOTAL";"1981";18733
"Sex - TOTAL";"1982";19647
"Sex - TOTAL";"1983";20703
"Sex - TOTAL";"1984";20214
"Sex - TOTAL";"1985";19854
"Sex - TOTAL";"1986";19499
"Sex - TOTAL";"1987";19837
"Sex - TOTAL";"1988";19126
"Sex - TOTAL";"1989";18669
"Sex - TOTAL";"1990";18555
"Sex - TOTAL";"1991";19324
"Sex - TOTAL";"1992";19333
"Sex - TOTAL";"1993";20012
"Sex - TOTAL";"1994";19359
"Sex - TOTAL";"1995";18968
"Sex - TOTAL";"1996";18620
"Sex - TOTAL";"1997";18928
"Sex - TOTAL";"1998";19039
"Sex - TOTAL";"1999";18885
"Sex - TOTAL";"2000";18588
"Sex - TOTAL";"2001";18508
"Sex - TOTAL";"2002";18701
"Sex - TOTAL";"2003";19451
"Sex - TOTAL";"2004";18523
"Sex - TOTAL";"2005";18825
"Sex - TOTAL";"2006";18180
"Sex - TOTAL";"2007";18584
"Sex - TOTAL";"2008";18308
"Sex - TOTAL";"2009";18750
"Sex - TOTAL";"2010";18609
"Sex - TOTAL";"2011";18699
"Sex - TOTAL";"2012";19257
"Sex - TOTAL";"2013";19334
"Sex - TOTAL";"2014";18886
"Sex - TOTAL";"2015";19834
"Sex - TOTAL";"2016";19689
"Sex - TOTAL";"2017";20509
"Sex - TOTAL";"2018";20485
"Sex - TOTAL";"2019";20588
"Sex - TOTAL";"2020";24016
"Sex - TOTAL";"2021";23261
"Sex - TOTAL";"2022";22492
