"Deaths by sex, month and year"

"sex","month","1880","1881","1882","1883","1884","1885","1886","1887","1888","1889","1890","1891","1892","1893","1894","1895","1896","1897","1898","1899"
"men","January",3553,4404,3354,3672,3526,3976,3628,3584,3532,3341,5298,4038,5344,4098,5171,3553,3320,3782,3354,4027
"men","February",3627,3788,3329,3355,3432,3426,3140,3155,3383,3236,3605,3211,4590,3630,3525,3579,3164,3565,3124,4069
"men","March",3743,4035,3518,4112,3784,4003,3964,3649,3795,3432,4014,3799,4269,3721,3547,3449,3549,3723,3598,4805
"men","April",3904,3837,3638,3939,3918,4176,3495,3459,3259,3391,3484,3965,3699,3534,3296,3561,3528,3541,3463,4283
"men","May",3854,3901,3531,3881,4074,3989,3603,3459,3333,3370,3532,3994,3606,3738,3240,3232,3496,3375,3610,4085
"men","June",3172,3237,3115,3198,3192,3517,3033,3099,3077,3079,2917,3487,2983,3116,3017,2965,3232,3129,3141,3584
"men","July",3055,2787,3146,3133,3055,3005,2965,2912,2808,3216,2781,3126,2934,3039,2900,2769,3019,2788,2943,3584
"men","August",2930,2740,3103,2697,2825,2751,2815,2685,2595,2640,2612,2937,2620,2872,2603,2512,2839,2776,2715,3279
"men","September",2893,2565,2909,2643,2616,2652,2878,2636,2504,2518,2610,2673,2557,2826,2543,2485,2593,2654,2612,2960
"men","October",3448,3053,3224,2963,3042,3182,3039,3035,3070,2758,3001,2600,2847,2903,3037,2790,2796,2751,3027,3119
"men","November",3667,3176,3529,3126,3371,3373,3020,3195,3291,2853,3143,2967,3162,3272,3033,2946,3257,2967,3070,3165
"men","December",3894,3320,3938,3503,4204,3805,3582,3457,3164,3910,3786,3703,3772,3931,3490,3376,3788,3290,3607,3962
"men","Unknown",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"women","January",3552,4829,3344,3871,3692,4269,3765,3781,3682,3547,5958,4253,6104,4241,5606,3753,3539,3883,3465,4280
"women","February",3563,3877,3327,3414,3332,3607,3138,3140,3558,3477,3665,3231,5083,3692,3631,3711,3243,3608,3193,4369
"women","March",3709,4144,3510,4176,3851,4023,3886,3771,3968,3736,4188,3888,4510,3740,3674,3587,3793,3693,3484,5213
"women","April",3810,3806,3740,4036,3846,3908,3364,3571,3431,3555,3536,4066,3839,3527,3361,3692,3597,3776,3568,4350
"women","May",3748,3707,3433,3698,3746,3902,3639,3250,3306,3340,3219,4071,3613,3701,3289,3305,3505,3383,3494,4000
"women","June",3202,2853,2835,3053,3093,3109,2924,3013,2982,2840,2859,3324,2873,2980,3035,2886,3065,2932,3012,3316
"women","July",2807,2611,2787,2657,2776,2788,2947,2744,2673,3017,2642,2838,2715,2848,2658,2534,2766,2646,2720,3356
"women","August",2794,2457,2932,2464,2603,2649,2740,2572,2431,2667,2441,2668,2542,2718,2515,2452,2656,2616,2544,3037
"women","September",2737,2362,2754,2391,2422,2572,2729,2375,2341,2527,2494,2424,2437,2622,2678,2258,2405,2553,2461,2855
"women","October",3374,2907,3105,2842,2906,2881,3011,2993,3098,2583,2963,2538,2869,2819,2926,2598,2835,2863,3073,3046
"women","November",3777,3176,3430,3143,3426,3521,3150,3234,3245,2993,3171,3238,3159,3255,3037,3023,3350,2948,3059,3128
"women","December",3940,3228,3875,3520,4345,3697,3590,3458,3305,4098,3905,3564,3767,4204,3632,3352,3924,3316,3612,3806
"women","Unknown",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"total","January",7105,9233,6698,7543,7218,8245,7393,7365,7214,6888,11256,8291,11448,8339,10777,7306,6859,7665,6819,8307
"total","February",7190,7665,6656,6769,6764,7033,6278,6295,6941,6713,7270,6442,9673,7322,7156,7290,6407,7173,6317,8438
"total","March",7452,8179,7028,8288,7635,8026,7850,7420,7763,7168,8202,7687,8779,7461,7221,7036,7342,7416,7082,10018
"total","April",7714,7643,7378,7975,7764,8084,6859,7030,6690,6946,7020,8031,7538,7061,6657,7253,7125,7317,7031,8633
"total","May",7602,7608,6964,7579,7820,7891,7242,6709,6639,6710,6751,8065,7219,7439,6529,6537,7001,6758,7104,8085
"total","June",6374,6090,5950,6251,6285,6626,5957,6112,6059,5919,5776,6811,5856,6096,6052,5851,6297,6061,6153,6900
"total","July",5862,5398,5933,5790,5831,5793,5912,5656,5481,6233,5423,5964,5649,5887,5558,5303,5785,5434,5663,6940
"total","August",5724,5197,6035,5161,5428,5400,5555,5257,5026,5307,5053,5605,5162,5590,5118,4964,5495,5392,5259,6316
"total","September",5630,4927,5663,5034,5038,5224,5607,5011,4845,5045,5104,5097,4994,5448,5221,4743,4998,5207,5073,5815
"total","October",6822,5960,6329,5805,5948,6063,6050,6028,6168,5341,5964,5138,5716,5722,5963,5388,5631,5614,6100,6165
"total","November",7444,6352,6959,6269,6797,6894,6170,6429,6536,5846,6314,6205,6321,6527,6070,5969,6607,5915,6129,6293
"total","December",7834,6548,7813,7023,8549,7502,7172,6915,6469,8008,7691,7267,7539,8135,7122,6728,7712,6606,7219,7768
"total","Unknown",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
